# Program:featureCounts v2.0.2; Command:"featureCounts" "-a" "../../07_annotation_final_assembly/final_assembly.gff3" "-o" "read_counts.tsv" "-t" "CDS" "-g" "ID" "-M" "-s" "0" "-T" "8" "mapped.dedup.bam" 
Geneid	Chr	Start	End	Strand	Length	mapped.dedup.bam
OMCOBO_01363	contig_2	1547290	1548456	-	1167	262
OMCOBO_01364	contig_2	1549319	1550677	-	1359	175
OMCOBO_01365	contig_2	1551110	1551889	-	780	27
OMCOBO_01366	contig_2	1552232	1553017	-	786	190
OMCOBO_01367	contig_2	1553568	1554827	-	1260	688
OMCOBO_01368	contig_2	1555006	1555998	-	993	453
OMCOBO_01369	contig_2	1556061	1557317	-	1257	577
OMCOBO_01370	contig_2	1557345	1558607	-	1263	964
OMCOBO_01371	contig_2	1558609	1560243	-	1635	939
OMCOBO_01372	contig_2	1560240	1561448	-	1209	794
OMCOBO_01373	contig_2	1561448	1561855	-	408	286
OMCOBO_01374	contig_2	1561908	1562054	-	147	85
OMCOBO_01375	contig_2	1562070	1563908	-	1839	945
OMCOBO_01376	contig_2	1563908	1566061	-	2154	962
OMCOBO_01377	contig_2	1566092	1566229	-	138	21
OMCOBO_01378	contig_2	1566192	1567187	-	996	384
OMCOBO_01379	contig_2	1567231	1568502	-	1272	451
OMCOBO_01380	contig_2	1568543	1569829	-	1287	727
OMCOBO_01381	contig_2	1570369	1571127	+	759	8
OMCOBO_01382	contig_2	1571120	1571893	+	774	20
OMCOBO_01383	contig_2	1571857	1573242	-	1386	182
OMCOBO_01384	contig_2	1573391	1573987	+	597	15
OMCOBO_01385	contig_2	1574484	1576385	+	1902	99
OMCOBO_01386	contig_2	1576461	1577591	-	1131	82
OMCOBO_01387	contig_2	1577588	1578952	-	1365	104
OMCOBO_01388	contig_2	1579126	1579596	-	471	83
OMCOBO_01389	contig_2	1579642	1580490	-	849	337
OMCOBO_01390	contig_2	1580547	1580819	-	273	86
OMCOBO_01391	contig_2	1580921	1581406	-	486	146
OMCOBO_01392	contig_2	1581462	1582748	-	1287	618
OMCOBO_01393	contig_2	1582745	1583404	-	660	217
OMCOBO_01394	contig_2	1583401	1584036	-	636	271
OMCOBO_01395	contig_2	1584038	1585246	-	1209	277
OMCOBO_01396	contig_2	1585735	1586511	+	777	4
OMCOBO_01397	contig_2	1586568	1587830	-	1263	19
OMCOBO_01398	contig_2	1587901	1589154	+	1254	9
OMCOBO_01399	contig_2	1589165	1589650	-	486	7
OMCOBO_01400	contig_2	1589823	1590089	-	267	3
OMCOBO_01401	contig_2	1590197	1590505	+	309	17
OMCOBO_01402	contig_2	1590581	1591375	-	795	57
OMCOBO_01403	contig_2	1591386	1592774	-	1389	49
OMCOBO_01404	contig_2	1593017	1593472	-	456	1
OMCOBO_01405	contig_2	1593767	1594522	+	756	5
OMCOBO_01406	contig_2	1594614	1595546	+	933	60
OMCOBO_01407	contig_2	1595596	1597317	-	1722	45
OMCOBO_01408	contig_2	1597472	1598278	-	807	14
OMCOBO_01409	contig_2	1598457	1599371	-	915	10
OMCOBO_01410	contig_2	1599426	1600916	+	1491	6
OMCOBO_01411	contig_2	1600934	1601455	+	522	13
OMCOBO_01412	contig_2	1601527	1601982	-	456	60
OMCOBO_01413	contig_2	1601993	1603462	-	1470	54
OMCOBO_01414	contig_2	1603815	1605311	-	1497	455
OMCOBO_01415	contig_2	1605439	1605882	-	444	18
OMCOBO_01416	contig_2	1605879	1606352	-	474	50
OMCOBO_01417	contig_2	1606411	1607427	-	1017	174
OMCOBO_01418	contig_2	1607608	1608288	-	681	166
OMCOBO_01419	contig_2	1608429	1610717	-	2289	1892
OMCOBO_01420	contig_2	1610864	1611325	-	462	43
OMCOBO_01421	contig_2	1611322	1615152	-	3831	57
OMCOBO_01422	contig_2	1615149	1615883	-	735	2
OMCOBO_01423	contig_2	1616216	1616419	+	204	2
OMCOBO_01424	contig_2	1616476	1616832	-	357	12
OMCOBO_01425	contig_2	1617001	1618440	-	1440	137
OMCOBO_01426	contig_2	1618545	1619483	-	939	159
OMCOBO_01427	contig_2	1619733	1620278	+	546	70
OMCOBO_01428	contig_2	1620435	1622564	-	2130	55
OMCOBO_01429	contig_2	1622683	1623891	-	1209	911
OMCOBO_01431	contig_2	1624165	1625394	-	1230	185
OMCOBO_01432	contig_2	1625537	1625812	-	276	152
OMCOBO_01433	contig_2	1625892	1626512	-	621	403
OMCOBO_01434	contig_2	1626551	1626874	-	324	357
OMCOBO_01435	contig_2	1627080	1627916	-	837	170
OMCOBO_01436	contig_2	1627913	1629025	-	1113	390
OMCOBO_01437	contig_2	1629102	1632413	-	3312	1764
OMCOBO_01438	contig_2	1632406	1633581	-	1176	534
OMCOBO_01439	contig_2	1633578	1634165	-	588	203
OMCOBO_01440	contig_2	1634162	1635448	-	1287	477
OMCOBO_01441	contig_2	1635453	1636430	-	978	297
OMCOBO_01442	contig_2	1636525	1637163	-	639	253
OMCOBO_01443	contig_2	1637386	1637886	+	501	318
OMCOBO_01444	contig_2	1638117	1638554	-	438	422
OMCOBO_01445	contig_2	1638557	1639123	-	567	490
OMCOBO_01446	contig_2	1639190	1640296	-	1107	98
OMCOBO_01447	contig_2	1640362	1641237	-	876	61
OMCOBO_01448	contig_2	1641467	1641907	-	441	153
OMCOBO_01449	contig_2	1641904	1642995	-	1092	358
OMCOBO_01450	contig_2	1642992	1643546	-	555	151
OMCOBO_01451	contig_2	1643543	1644727	-	1185	443
OMCOBO_01452	contig_2	1644862	1645698	-	837	45
OMCOBO_01453	contig_2	1645709	1647577	-	1869	242
OMCOBO_01454	contig_2	1647704	1648177	-	474	184
OMCOBO_01455	contig_2	1648183	1650852	-	2670	1660
OMCOBO_01456	contig_2	1650852	1651187	-	336	85
OMCOBO_01457	contig_2	1651196	1651627	-	432	144
OMCOBO_01458	contig_2	1651800	1653989	+	2190	203
OMCOBO_01459	contig_2	1654011	1654622	-	612	613
OMCOBO_01460	contig_2	1654679	1655557	+	879	694
OMCOBO_01461	contig_2	1655592	1656950	-	1359	380
OMCOBO_01462	contig_2	1657062	1657703	-	642	190
OMCOBO_01463	contig_2	1657900	1659162	-	1263	406
OMCOBO_01464	contig_2	1659175	1659891	-	717	134
OMCOBO_01465	contig_2	1660053	1660883	+	831	99
OMCOBO_01466	contig_2	1661126	1662355	+	1230	670
OMCOBO_01467	contig_2	1662458	1664998	-	2541	482
OMCOBO_01468	contig_2	1665184	1665732	-	549	128
OMCOBO_01469	contig_2	1665729	1666862	-	1134	521
OMCOBO_01470	contig_2	1666864	1668600	-	1737	785
OMCOBO_01471	contig_2	1668755	1669327	-	573	193
OMCOBO_01472	contig_2	1669489	1670577	-	1089	114
OMCOBO_01473	contig_2	1670657	1671277	-	621	57
OMCOBO_01474	contig_2	1671274	1671825	-	552	55
OMCOBO_01475	contig_2	1671962	1672714	-	753	360
OMCOBO_01476	contig_2	1672812	1673423	-	612	236
OMCOBO_01477	contig_2	1673438	1674349	-	912	675
OMCOBO_01478	contig_2	1674497	1675018	-	522	46
OMCOBO_01479	contig_2	1675656	1676795	-	1140	99
OMCOBO_01480	contig_2	1676792	1677730	-	939	44
OMCOBO_01481	contig_2	1677730	1678383	-	654	97
OMCOBO_01482	contig_2	1678649	1680847	+	2199	189
OMCOBO_01483	contig_2	1681021	1682691	+	1671	520
OMCOBO_01484	contig_2	1682794	1683993	-	1200	8
OMCOBO_01485	contig_2	1683993	1684772	-	780	8
OMCOBO_01486	contig_2	1684889	1685446	-	558	76
OMCOBO_01487	contig_2	1685520	1687499	-	1980	915
OMCOBO_01488	contig_2	1687601	1688812	-	1212	8
OMCOBO_01489	contig_2	1688812	1689399	-	588	11
OMCOBO_01490	contig_2	1689627	1690352	+	726	117
OMCOBO_01492	contig_2	1690646	1691116	-	471	13
OMCOBO_01494	contig_2	1691646	1692059	+	414	235
OMCOBO_01495	contig_2	1692284	1692850	+	567	47
OMCOBO_01496	contig_2	1692911	1693066	-	156	13
OMCOBO_01497	contig_2	1693135	1693581	-	447	27
OMCOBO_01498	contig_2	1693755	1694306	+	552	88
OMCOBO_01499	contig_2	1694365	1695231	-	867	75
OMCOBO_01500	contig_2	1695234	1696058	-	825	120
OMCOBO_01506	contig_2	1698000	1698209	-	210	78
OMCOBO_01507	contig_2	1698815	1700173	+	1359	90
OMCOBO_01508	contig_2	1700216	1701031	-	816	105
OMCOBO_01509	contig_2	1701085	1702323	-	1239	211
OMCOBO_01510	contig_2	1702487	1706566	-	4080	800
OMCOBO_01511	contig_2	1706802	1708031	-	1230	29
OMCOBO_01512	contig_2	1708196	1708831	-	636	157
OMCOBO_01513	contig_2	1709068	1709949	-	882	598
OMCOBO_01514	contig_2	1710028	1710747	-	720	278
OMCOBO_01515	contig_2	1710759	1711832	-	1074	361
OMCOBO_01516	contig_2	1712460	1712828	+	369	29
OMCOBO_01517	contig_2	1712821	1713282	+	462	60
OMCOBO_01518	contig_2	1713325	1713813	-	489	150
OMCOBO_01519	contig_2	1714017	1715198	-	1182	437
OMCOBO_01520	contig_2	1715509	1716180	+	672	135
OMCOBO_01521	contig_2	1716256	1718226	-	1971	13
OMCOBO_01522	contig_2	1718461	1720095	-	1635	79
OMCOBO_01523	contig_2	1720092	1720643	-	552	24
OMCOBO_01524	contig_2	1720838	1722265	-	1428	619
OMCOBO_01525	contig_2	1722382	1723578	-	1197	154
OMCOBO_01526	contig_2	1723750	1724151	-	402	0
OMCOBO_01528	contig_2	1724488	1725003	-	516	10
OMCOBO_01529	contig_2	1725140	1725847	+	708	134
OMCOBO_01530	contig_2	1725991	1726791	+	801	319
OMCOBO_01531	contig_2	1726788	1728971	+	2184	1083
OMCOBO_01532	contig_2	1728968	1730074	+	1107	459
OMCOBO_01533	contig_2	1730194	1730736	-	543	303
OMCOBO_01534	contig_2	1730756	1732006	-	1251	528
OMCOBO_01535	contig_2	1732003	1732956	-	954	416
OMCOBO_01536	contig_2	1733018	1734196	-	1179	481
OMCOBO_01537	contig_2	1734193	1735221	-	1029	205
OMCOBO_01538	contig_2	1735459	1735920	+	462	9
OMCOBO_01539	contig_2	1735951	1736706	-	756	6
OMCOBO_01540	contig_2	1737062	1737889	+	828	33
OMCOBO_01541	contig_2	1737935	1738306	-	372	27
OMCOBO_01542	contig_2	1738388	1738849	+	462	30
OMCOBO_01543	contig_2	1738896	1740473	-	1578	14
OMCOBO_01544	contig_2	1740723	1740914	-	192	2
OMCOBO_01545	contig_2	1741054	1742157	+	1104	5
OMCOBO_01546	contig_2	1742287	1743054	+	768	15
OMCOBO_01547	contig_2	1743172	1743624	-	453	27
OMCOBO_01548	contig_2	1743693	1745132	-	1440	38
OMCOBO_01549	contig_2	1745158	1746111	+	954	5
OMCOBO_01550	contig_2	1746317	1746526	+	210	56
OMCOBO_01551	contig_2	1746596	1747819	-	1224	19
OMCOBO_01552	contig_2	1747979	1748848	+	870	296
OMCOBO_01553	contig_2	1749239	1750510	+	1272	11
OMCOBO_01554	contig_2	1750507	1751145	+	639	4
OMCOBO_01555	contig_2	1751300	1753450	-	2151	39
OMCOBO_01556	contig_2	1754034	1754291	+	258	11
OMCOBO_01557	contig_2	1754304	1754834	-	531	27
OMCOBO_01558	contig_2	1754883	1756220	-	1338	83
OMCOBO_01559	contig_2	1756422	1758947	-	2526	1120
OMCOBO_01560	contig_2	1758947	1760071	-	1125	556
OMCOBO_01561	contig_2	1760247	1761362	-	1116	50
OMCOBO_01562	contig_2	1761437	1762300	-	864	105
OMCOBO_01563	contig_2	1762480	1762866	-	387	442
OMCOBO_01564	contig_2	1762973	1763167	-	195	245
OMCOBO_01565	contig_2	1763291	1764052	-	762	658
OMCOBO_01567	contig_2	1764345	1764734	+	390	84
OMCOBO_01568	contig_2	1764819	1765586	-	768	33
OMCOBO_01569	contig_2	1765688	1766419	-	732	32
OMCOBO_01570	contig_2	1766542	1767714	-	1173	9
OMCOBO_01571	contig_2	1767711	1769060	-	1350	12
OMCOBO_01572	contig_2	1769277	1770539	+	1263	13
OMCOBO_01573	contig_2	1770589	1771881	-	1293	80
OMCOBO_01574	contig_2	1771970	1772770	-	801	170
OMCOBO_01575	contig_2	1772814	1774187	-	1374	188
OMCOBO_01576	contig_2	1774197	1775564	-	1368	171
OMCOBO_01577	contig_2	1775638	1776369	+	732	11
OMCOBO_01578	contig_2	1776503	1777978	+	1476	33
OMCOBO_01579	contig_2	1778023	1778733	+	711	26
OMCOBO_01580	contig_2	1778757	1779320	-	564	20
OMCOBO_01581	contig_2	1779473	1780606	+	1134	114
OMCOBO_01582	contig_2	1780610	1781914	+	1305	18
OMCOBO_01583	contig_2	1781958	1782863	-	906	12
OMCOBO_01584	contig_2	1782988	1784154	+	1167	18
OMCOBO_01585	contig_2	1784166	1784924	-	759	25
OMCOBO_01586	contig_2	1785453	1788053	-	2601	566
OMCOBO_01587	contig_2	1788046	1789215	-	1170	139
OMCOBO_01588	contig_2	1789356	1790357	+	1002	525
OMCOBO_01589	contig_2	1790439	1791290	+	852	765
OMCOBO_01590	contig_2	1791367	1792068	-	702	147
OMCOBO_01591	contig_2	1792241	1793209	+	969	26
OMCOBO_01592	contig_2	1793206	1793658	+	453	16
OMCOBO_01593	contig_2	1793990	1795114	+	1125	105
OMCOBO_01594	contig_2	1795202	1798018	-	2817	443
OMCOBO_01595	contig_2	1798195	1799151	-	957	415
OMCOBO_01596	contig_2	1799215	1799514	-	300	221
OMCOBO_01597	contig_2	1799723	1799932	-	210	16
OMCOBO_01598	contig_2	1799959	1800219	-	261	9
OMCOBO_01599	contig_2	1800280	1801230	-	951	69
OMCOBO_01600	contig_2	1801244	1802236	-	993	116
OMCOBO_01601	contig_2	1802351	1802722	-	372	139
OMCOBO_01602	contig_2	1802791	1803804	-	1014	368
OMCOBO_01603	contig_2	1803957	1805318	-	1362	856
OMCOBO_01604	contig_2	1805328	1806587	-	1260	44
OMCOBO_01605	contig_2	1806701	1807810	+	1110	41
OMCOBO_01606	contig_2	1807867	1808682	-	816	605
OMCOBO_01607	contig_2	1808753	1809529	-	777	571
OMCOBO_01608	contig_2	1809873	1810091	-	219	137
OMCOBO_01609	contig_2	1810280	1811791	-	1512	940
OMCOBO_01610	contig_2	1812067	1813833	-	1767	1554
OMCOBO_01611	contig_2	1814083	1814376	+	294	115
OMCOBO_01612	contig_2	1814467	1815045	-	579	74
OMCOBO_01613	contig_2	1815249	1816229	-	981	294
OMCOBO_01614	contig_2	1816457	1817752	-	1296	238
OMCOBO_01615	contig_2	1817944	1818981	+	1038	53
OMCOBO_01616	contig_2	1819007	1819678	+	672	93
OMCOBO_01617	contig_2	1819776	1821371	-	1596	251
OMCOBO_01618	contig_2	1821455	1823062	-	1608	291
OMCOBO_01619	contig_2	1823423	1824136	-	714	129
OMCOBO_01620	contig_2	1824364	1827873	-	3510	651
OMCOBO_01622	contig_2	1828112	1828876	+	765	140
OMCOBO_01623	contig_2	1829104	1829892	+	789	619
OMCOBO_01624	contig_2	1829939	1831495	+	1557	1262
OMCOBO_01625	contig_2	1831509	1833113	+	1605	1750
OMCOBO_01626	contig_2	1833353	1834450	+	1098	124
OMCOBO_01627	contig_2	1834541	1835212	+	672	21
OMCOBO_01628	contig_2	1835232	1836017	-	786	29
OMCOBO_01629	contig_2	1836171	1837022	-	852	2
OMCOBO_01630	contig_2	1837061	1838062	-	1002	0
OMCOBO_01631	contig_2	1838075	1839106	-	1032	0
OMCOBO_01632	contig_2	1839103	1840893	-	1791	1
OMCOBO_01633	contig_2	1840890	1841942	-	1053	9
OMCOBO_01634	contig_2	1842033	1842815	-	783	1
OMCOBO_01635	contig_2	1842812	1844143	-	1332	5
OMCOBO_01636	contig_2	1844454	1845569	+	1116	248
OMCOBO_01637	contig_2	1845683	1846912	-	1230	248
OMCOBO_01638	contig_2	1847081	1847986	-	906	61
OMCOBO_01639	contig_2	1847950	1848540	-	591	64
OMCOBO_01640	contig_2	1848667	1849362	-	696	83
OMCOBO_01641	contig_2	1849434	1850426	+	993	9
OMCOBO_01642	contig_2	1850449	1851237	-	789	5
OMCOBO_01643	contig_2	1851500	1852549	-	1050	140
OMCOBO_01644	contig_2	1852709	1853692	+	984	39
OMCOBO_01645	contig_2	1853689	1856022	+	2334	215
OMCOBO_01646	contig_2	1856104	1856790	-	687	199
OMCOBO_01647	contig_2	1856838	1857026	+	189	67
OMCOBO_01648	contig_2	1857112	1857999	-	888	1943
OMCOBO_01649	contig_2	1858195	1858428	-	234	550
OMCOBO_01650	contig_2	1858779	1860134	-	1356	647
OMCOBO_01652	contig_2	1860657	1861334	+	678	23
OMCOBO_01653	contig_2	1861421	1861633	-	213	15
OMCOBO_01654	contig_2	1862414	1863844	-	1431	350
OMCOBO_01655	contig_2	1863992	1864399	+	408	18
OMCOBO_01656	contig_2	1864524	1865336	+	813	2
OMCOBO_01657	contig_2	1865394	1866680	-	1287	11
OMCOBO_01658	contig_2	1866677	1867351	-	675	22
OMCOBO_01659	contig_2	1867625	1868521	+	897	4
OMCOBO_01660	contig_2	1868647	1869324	+	678	70
OMCOBO_01661	contig_2	1869317	1870108	+	792	72
OMCOBO_01662	contig_2	1870176	1870727	+	552	42
OMCOBO_01663	contig_2	1870732	1871115	+	384	28
OMCOBO_01664	contig_2	1871130	1871495	+	366	0
OMCOBO_01665	contig_2	1871641	1872597	+	957	319
OMCOBO_01666	contig_2	1872755	1873804	+	1050	492
OMCOBO_01667	contig_2	1873812	1875026	+	1215	517
OMCOBO_01668	contig_2	1875344	1875988	-	645	74
OMCOBO_01669	contig_2	1875985	1877637	-	1653	157
OMCOBO_01670	contig_2	1877634	1878407	-	774	135
OMCOBO_01671	contig_2	1878600	1879868	+	1269	46
OMCOBO_01672	contig_2	1880656	1887528	-	6873	126
OMCOBO_01673	contig_2	1887645	1891901	-	4257	95
OMCOBO_01674	contig_2	1892265	1893611	+	1347	104
OMCOBO_01675	contig_2	1893631	1894671	-	1041	52
OMCOBO_01676	contig_2	1894867	1895442	+	576	21
OMCOBO_01677	contig_2	1895555	1898377	-	2823	200
OMCOBO_01678	contig_2	1898629	1899243	+	615	43
OMCOBO_01679	contig_2	1899315	1900052	+	738	67
OMCOBO_01680	contig_2	1900440	1901489	-	1050	102
OMCOBO_01681	contig_2	1901715	1902065	-	351	19
OMCOBO_01682	contig_2	1902138	1902299	-	162	7
OMCOBO_01683	contig_2	1902292	1902594	-	303	26
OMCOBO_01684	contig_2	1902790	1903215	-	426	21
OMCOBO_01685	contig_2	1903212	1903877	-	666	15
OMCOBO_01686	contig_2	1903870	1904121	-	252	1
OMCOBO_01687	contig_2	1905701	1906819	+	1119	36
OMCOBO_01688	contig_2	1906822	1907025	+	204	4
OMCOBO_01689	contig_2	1907032	1907139	+	108	1
OMCOBO_01690	contig_2	1907254	1907403	+	150	1
OMCOBO_01691	contig_2	1907396	1908058	+	663	6
OMCOBO_01692	contig_2	1908055	1908213	+	159	1
OMCOBO_01693	contig_2	1908213	1908707	+	495	19
OMCOBO_01694	contig_2	1908751	1909062	+	312	8
OMCOBO_01695	contig_2	1909264	1909749	+	486	36
OMCOBO_01696	contig_2	1909827	1910288	+	462	0
OMCOBO_01697	contig_2	1910300	1910575	+	276	1
OMCOBO_01698	contig_2	1910639	1913314	+	2676	16
OMCOBO_01699	contig_2	1913429	1913629	-	201	244
OMCOBO_01700	contig_2	1913696	1913812	-	117	110
OMCOBO_01701	contig_2	1914271	1914471	-	201	66
OMCOBO_01702	contig_2	1914841	1915155	-	315	283
OMCOBO_01703	contig_2	1915324	1916157	+	834	175
OMCOBO_01704	contig_2	1916154	1916363	+	210	131
OMCOBO_01705	contig_2	1916994	1918436	+	1443	575
OMCOBO_01706	contig_2	1918476	1919045	-	570	100
OMCOBO_01707	contig_2	1919171	1919632	+	462	97
OMCOBO_01708	contig_2	1919648	1920268	-	621	32
OMCOBO_01709	contig_2	1920401	1921552	-	1152	23
OMCOBO_01710	contig_2	1921592	1922314	+	723	14
OMCOBO_01711	contig_2	1922344	1923360	+	1017	54
OMCOBO_01712	contig_2	1923391	1924491	-	1101	100
OMCOBO_01713	contig_2	1924553	1925947	-	1395	204
OMCOBO_01714	contig_2	1926103	1926870	-	768	63
OMCOBO_01715	contig_2	1927066	1928421	+	1356	137
OMCOBO_01716	contig_2	1928456	1929205	+	750	49
OMCOBO_01717	contig_2	1929246	1930631	-	1386	25
OMCOBO_01718	contig_2	1930727	1932070	+	1344	30
OMCOBO_01719	contig_2	1932221	1932484	-	264	186
OMCOBO_01720	contig_2	1932724	1933530	-	807	28
OMCOBO_01721	contig_2	1933844	1935082	+	1239	175
OMCOBO_01722	contig_2	1935166	1935873	-	708	33
OMCOBO_01723	contig_2	1936394	1937359	-	966	176
OMCOBO_01724	contig_2	1937399	1938190	-	792	10
OMCOBO_01725	contig_2	1938282	1938671	-	390	65
OMCOBO_01726	contig_2	1938809	1940659	-	1851	337
OMCOBO_01727	contig_2	1941093	1942265	-	1173	48
OMCOBO_01728	contig_2	1942453	1944954	+	2502	8
OMCOBO_01729	contig_2	1945020	1946090	-	1071	5
OMCOBO_01730	contig_2	1946589	1947590	+	1002	86
OMCOBO_01731	contig_2	1947668	1948234	-	567	7
OMCOBO_01732	contig_2	1948309	1949508	+	1200	10
OMCOBO_01733	contig_2	1949573	1950430	-	858	1
OMCOBO_01734	contig_2	1950647	1951744	-	1098	0
OMCOBO_01735	contig_2	1951741	1955301	-	3561	3
OMCOBO_01736	contig_2	1955488	1956561	+	1074	4
OMCOBO_01737	contig_2	1956701	1957471	-	771	33
OMCOBO_01738	contig_2	1957608	1958312	+	705	38
OMCOBO_01739	contig_2	1958636	1959076	+	441	310
OMCOBO_01740	contig_2	1959202	1960263	-	1062	65
OMCOBO_01741	contig_2	1960706	1961650	-	945	22
OMCOBO_01742	contig_2	1961816	1962727	-	912	5
OMCOBO_01743	contig_2	1963003	1963809	-	807	42
OMCOBO_01744	contig_2	1963811	1965178	-	1368	14
OMCOBO_01745	contig_2	1965175	1966290	-	1116	8
OMCOBO_01746	contig_2	1966352	1967320	-	969	4
OMCOBO_01747	contig_2	1967398	1968159	-	762	3
OMCOBO_01748	contig_2	1968156	1969088	-	933	3
OMCOBO_01749	contig_2	1969072	1970976	-	1905	3
OMCOBO_01750	contig_2	1970973	1971836	-	864	3
OMCOBO_01751	contig_2	1972328	1972834	+	507	4
OMCOBO_01752	contig_2	1972831	1973784	+	954	8
OMCOBO_01753	contig_2	1973882	1974508	-	627	94
OMCOBO_01754	contig_2	1974468	1974809	-	342	43
OMCOBO_01755	contig_2	1974806	1975231	-	426	81
OMCOBO_01756	contig_2	1975228	1977711	-	2484	668
OMCOBO_01757	contig_2	1978107	1978556	+	450	85
OMCOBO_01758	contig_2	1978566	1979759	-	1194	103
OMCOBO_01759	contig_2	1979889	1981532	-	1644	208
OMCOBO_01760	contig_2	1981711	1982952	+	1242	32
OMCOBO_01761	contig_2	1983218	1984252	+	1035	170
OMCOBO_01762	contig_2	1984369	1984530	-	162	11
OMCOBO_01763	contig_2	1985065	1986744	+	1680	19
OMCOBO_01764	contig_2	1986781	1987629	-	849	59
OMCOBO_01765	contig_2	1987713	1988984	-	1272	78
OMCOBO_01766	contig_2	1989192	1989773	-	582	2
OMCOBO_01767	contig_2	1990061	1990858	+	798	121
OMCOBO_01768	contig_2	1990885	1991322	+	438	82
OMCOBO_01769	contig_2	1991378	1992850	-	1473	443
OMCOBO_01770	contig_2	1992921	1993577	-	657	83
OMCOBO_01771	contig_2	1993574	1994305	-	732	279
OMCOBO_01772	contig_2	1994449	1995534	-	1086	171
OMCOBO_01773	contig_2	1995531	1995893	-	363	27
OMCOBO_01774	contig_2	1996034	1996759	+	726	7
OMCOBO_01775	contig_2	1996797	1997843	-	1047	42
OMCOBO_01776	contig_2	1997930	1999042	-	1113	184
OMCOBO_01777	contig_2	1999042	1999725	-	684	11
OMCOBO_01778	contig_2	1999722	2000819	-	1098	16
OMCOBO_01779	contig_2	2001008	2001658	-	651	56
OMCOBO_01780	contig_2	2001643	2002659	-	1017	505
OMCOBO_01781	contig_2	2003149	2004264	-	1116	1362
OMCOBO_01782	contig_2	2004432	2006537	-	2106	62
OMCOBO_01783	contig_2	2006723	2007349	-	627	182
OMCOBO_01784	contig_2	2007449	2009137	-	1689	953
OMCOBO_01785	contig_2	2009592	2011388	+	1797	242
OMCOBO_01786	contig_2	2011452	2012639	-	1188	27
OMCOBO_01787	contig_2	2012850	2014475	+	1626	64
OMCOBO_01788	contig_2	2014489	2015679	-	1191	35
OMCOBO_01789	contig_2	2016073	2016900	-	828	14
OMCOBO_01790	contig_2	2016939	2018675	-	1737	196
OMCOBO_01791	contig_2	2018955	2020430	+	1476	18
OMCOBO_01792	contig_2	2020456	2021397	-	942	154
OMCOBO_01793	contig_2	2021394	2022200	-	807	57
OMCOBO_01794	contig_2	2022224	2022616	-	393	35
OMCOBO_01795	contig_2	2022681	2023028	+	348	104
OMCOBO_01796	contig_2	2023012	2023845	-	834	443
OMCOBO_01797	contig_2	2023946	2025049	-	1104	275
OMCOBO_01798	contig_2	2025120	2026178	-	1059	347
OMCOBO_01799	contig_2	2026291	2027319	+	1029	879
OMCOBO_01800	contig_2	2027393	2028283	+	891	819
OMCOBO_01801	contig_2	2028379	2029428	-	1050	403
OMCOBO_01802	contig_2	2029606	2030871	+	1266	221
OMCOBO_01803	contig_2	2031060	2032607	+	1548	2214
OMCOBO_01804	contig_2	2032642	2033967	+	1326	1604
OMCOBO_01805	contig_2	2033964	2034530	+	567	653
OMCOBO_01806	contig_2	2034530	2036332	+	1803	2403
OMCOBO_01807	contig_2	2036427	2037179	-	753	130
OMCOBO_01808	contig_2	2037176	2038204	-	1029	74
OMCOBO_01812	contig_2	2044368	2045018	-	651	19
OMCOBO_01813	contig_2	2045173	2045955	+	783	109
OMCOBO_01814	contig_2	2045998	2046537	+	540	145
OMCOBO_01815	contig_2	2046958	2047464	+	507	41
OMCOBO_01816	contig_2	2047500	2048267	-	768	93
OMCOBO_01817	contig_2	2048353	2049288	-	936	486
OMCOBO_01818	contig_2	2049387	2049800	-	414	93
OMCOBO_01819	contig_2	2049956	2050750	-	795	387
OMCOBO_01820	contig_2	2050747	2050860	-	114	0
OMCOBO_01821	contig_2	2050967	2051674	+	708	36
OMCOBO_01822	contig_2	2051775	2052020	-	246	303
OMCOBO_01823	contig_2	2052185	2052430	-	246	252
OMCOBO_01824	contig_2	2052615	2053298	-	684	57
OMCOBO_01825	contig_2	2053291	2054547	-	1257	51
OMCOBO_01826	contig_2	2054828	2055595	+	768	55
OMCOBO_01827	contig_2	2055935	2056654	+	720	3
OMCOBO_01828	contig_2	2056757	2059276	-	2520	714
OMCOBO_01829	contig_2	2059728	2060975	+	1248	392
OMCOBO_01830	contig_2	2061211	2061729	-	519	176
OMCOBO_01831	contig_2	2061831	2062049	-	219	10
OMCOBO_01832	contig_2	2062263	2062403	-	141	13
OMCOBO_01833	contig_2	2062547	2063881	-	1335	39
OMCOBO_01834	contig_2	2064021	2064722	+	702	37
OMCOBO_01835	contig_2	2064958	2065737	-	780	509
OMCOBO_01836	contig_2	2065743	2066447	-	705	379
OMCOBO_01837	contig_2	2066610	2068178	+	1569	199
OMCOBO_01838	contig_2	2068175	2068264	+	90	0
OMCOBO_01839	contig_2	2068261	2069688	+	1428	106
OMCOBO_01840	contig_2	2069848	2071251	+	1404	430
OMCOBO_01841	contig_2	2071455	2071817	+	363	47
OMCOBO_01842	contig_2	2072059	2072301	+	243	13
OMCOBO_01843	contig_2	2072284	2073273	-	990	169
OMCOBO_01844	contig_2	2073433	2075055	-	1623	134
OMCOBO_01845	contig_2	2075052	2075477	-	426	29
OMCOBO_01846	contig_2	2075652	2075828	-	177	0
OMCOBO_01847	contig_2	2076064	2077554	+	1491	427
