# Program:featureCounts v2.0.2; Command:"featureCounts" "-a" "../../07_annotation_final_assembly/final_assembly.gff3" "-o" "read_counts.tsv" "-t" "CDS" "-g" "ID" "-M" "-s" "0" "-T" "8" "mapped.dedup.bam" 
Geneid	Chr	Start	End	Strand	Length	mapped.dedup.bam
OMCOBO_00215	contig_2	187060	187308	+	249	1
OMCOBO_00216	contig_2	187620	189896	+	2277	39
OMCOBO_00217	contig_2	190058	191470	-	1413	247
OMCOBO_00218	contig_2	191770	191922	-	153	7
OMCOBO_00219	contig_2	191919	192713	-	795	3
OMCOBO_00220	contig_2	192808	193488	+	681	19
OMCOBO_00221	contig_2	193634	194287	-	654	9
OMCOBO_00222	contig_2	194726	196684	+	1959	97
OMCOBO_00223	contig_2	196784	197494	-	711	95
OMCOBO_00224	contig_2	198022	198255	-	234	34
OMCOBO_00225	contig_2	199437	199907	+	471	40
OMCOBO_00226	contig_2	200239	200595	+	357	29
OMCOBO_00227	contig_2	200600	201613	+	1014	44
OMCOBO_00228	contig_2	201903	203231	+	1329	14
OMCOBO_00229	contig_2	203228	203959	+	732	6
OMCOBO_00230	contig_2	204065	205585	+	1521	50
OMCOBO_00231	contig_2	206111	206749	+	639	1
OMCOBO_00232	contig_2	206793	208187	-	1395	8
OMCOBO_00233	contig_2	208593	209189	-	597	12
OMCOBO_00234	contig_2	209252	210430	-	1179	46
OMCOBO_00235	contig_2	210562	210819	-	258	19
OMCOBO_00236	contig_2	210888	212369	+	1482	85
OMCOBO_00237	contig_2	212377	213033	-	657	10
OMCOBO_00238	contig_2	213026	214186	-	1161	15
OMCOBO_00239	contig_2	214354	214815	+	462	4
OMCOBO_00240	contig_2	214851	216335	-	1485	76
OMCOBO_00241	contig_2	216447	216929	-	483	0
OMCOBO_00242	contig_2	217249	218355	-	1107	4
OMCOBO_00243	contig_2	218712	220112	+	1401	7
OMCOBO_00244	contig_2	220220	221032	-	813	40
OMCOBO_00245	contig_2	221341	222975	+	1635	49
OMCOBO_00246	contig_2	223030	224157	-	1128	457
OMCOBO_00247	contig_2	224653	225999	+	1347	9
OMCOBO_00248	contig_2	226040	227575	-	1536	42
OMCOBO_00249	contig_2	227584	228297	-	714	32
OMCOBO_00250	contig_2	228294	228938	-	645	56
OMCOBO_00251	contig_2	229210	229539	-	330	2
OMCOBO_00252	contig_2	229697	231184	-	1488	15
OMCOBO_00253	contig_2	231271	231873	+	603	38
OMCOBO_00254	contig_2	231962	232360	-	399	20
OMCOBO_00255	contig_2	232446	233531	+	1086	31
OMCOBO_00256	contig_2	233593	233895	-	303	92
OMCOBO_00257	contig_2	234228	235871	+	1644	25
OMCOBO_00258	contig_2	235868	236995	+	1128	11
OMCOBO_00259	contig_2	236992	237363	+	372	0
OMCOBO_00260	contig_2	237485	237856	+	372	50
OMCOBO_00261	contig_2	238129	238518	+	390	71
OMCOBO_00262	contig_2	238651	239535	+	885	205
OMCOBO_00263	contig_2	239585	240754	-	1170	421
OMCOBO_00264	contig_2	240831	241034	-	204	0
OMCOBO_00265	contig_2	241077	242354	-	1278	7
OMCOBO_00266	contig_2	242486	242656	-	171	54
OMCOBO_00267	contig_2	242635	245529	-	2895	0
OMCOBO_00268	contig_2	245526	246509	-	984	6
OMCOBO_00269	contig_2	247046	248794	+	1749	5
OMCOBO_00270	contig_2	248791	249399	+	609	0
OMCOBO_00271	contig_2	249411	250064	+	654	3
OMCOBO_00272	contig_2	250235	250615	+	381	16
OMCOBO_00273	contig_2	250710	251528	-	819	14
OMCOBO_00274	contig_2	251619	252212	+	594	17
OMCOBO_00275	contig_2	252291	253145	-	855	11
OMCOBO_00276	contig_2	253254	253835	-	582	14
OMCOBO_00277	contig_2	253983	255164	+	1182	3
OMCOBO_00278	contig_2	255341	256018	+	678	17
OMCOBO_00279	contig_2	256011	257504	+	1494	49
OMCOBO_00280	contig_2	257553	258218	+	666	133
OMCOBO_00281	contig_2	258228	258641	-	414	28
OMCOBO_00282	contig_2	258809	259261	+	453	25
OMCOBO_00283	contig_2	259367	260596	+	1230	74
OMCOBO_00284	contig_2	260650	261099	+	450	19
OMCOBO_00285	contig_2	261284	262591	+	1308	8
OMCOBO_00286	contig_2	262676	263446	-	771	14
OMCOBO_00287	contig_2	263519	264421	+	903	72
OMCOBO_00288	contig_2	264517	265194	-	678	88
OMCOBO_00289	contig_2	265351	265791	+	441	24
OMCOBO_00290	contig_2	265869	266315	-	447	11
OMCOBO_00291	contig_2	266329	268020	-	1692	408
OMCOBO_00292	contig_2	268323	270053	+	1731	301
OMCOBO_00293	contig_2	270186	270911	-	726	105
OMCOBO_00294	contig_2	271083	272495	+	1413	277
OMCOBO_00295	contig_2	272626	273108	+	483	143
OMCOBO_00296	contig_2	273326	274093	+	768	59
OMCOBO_00297	contig_2	274222	275166	-	945	9
OMCOBO_00298	contig_2	275253	275726	-	474	13
OMCOBO_00299	contig_2	275870	276448	-	579	55
OMCOBO_00300	contig_2	276820	277398	+	579	358
OMCOBO_00301	contig_2	277395	278405	+	1011	447
OMCOBO_00302	contig_2	278402	280561	+	2160	1047
OMCOBO_00303	contig_2	280851	282137	+	1287	230
OMCOBO_00304	contig_2	282311	282775	-	465	189
OMCOBO_00305	contig_2	282961	284232	+	1272	32
OMCOBO_00306	contig_2	284358	285545	+	1188	48
