# Program:featureCounts v2.0.2; Command:"featureCounts" "-a" "../final_assembly.gff3" "-o" "read_counts.tsv" "-t" "CDS" "-g" "ID" "-M" "--fraction" "-s" "0" "-T" "8" "mapped.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	mapped.sorted.bam
OMCOBO_00075	contig_2	50427	51308	-	882	27
OMCOBO_00076	contig_2	51366	52592	-	1227	44
OMCOBO_00077	contig_2	52762	53229	+	468	55
OMCOBO_00078	contig_2	53545	54672	-	1128	468
OMCOBO_00079	contig_2	55556	56218	+	663	95
OMCOBO_00080	contig_2	56642	59239	+	2598	5847
OMCOBO_00082	contig_2	59695	60858	+	1164	130
OMCOBO_00083	contig_2	61010	62086	-	1077	1879
OMCOBO_00084	contig_2	62300	62518	+	219	338
OMCOBO_00085	contig_2	62836	64083	+	1248	2218
OMCOBO_00086	contig_2	64080	64769	+	690	1301
OMCOBO_00087	contig_2	64921	65631	-	711	107
OMCOBO_00088	contig_2	65934	66158	+	225	0
OMCOBO_00089	contig_2	66155	67351	+	1197	119
OMCOBO_00090	contig_2	67478	68164	-	687	337
OMCOBO_00091	contig_2	68339	69028	+	690	227
OMCOBO_00092	contig_2	69152	69691	-	540	247
OMCOBO_00093	contig_2	69773	70456	-	684	338
OMCOBO_00094	contig_2	70620	71054	-	435	102
OMCOBO_00095	contig_2	71134	71535	+	402	115
OMCOBO_00096	contig_2	71662	72417	-	756	105
OMCOBO_00097	contig_2	72683	73258	-	576	243
OMCOBO_00098	contig_2	73424	73888	+	465	299
OMCOBO_00099	contig_2	74147	74389	-	243	708
OMCOBO_00100	contig_2	74541	75113	-	573	1604
OMCOBO_00101	contig_2	75242	75379	+	138	8
OMCOBO_00102	contig_2	75419	75781	-	363	12
OMCOBO_00103	contig_2	75875	76813	+	939	187
OMCOBO_00104	contig_2	77110	77868	+	759	639
OMCOBO_00105	contig_2	78275	79624	-	1350	90
OMCOBO_00106	contig_2	80051	81406	+	1356	69
OMCOBO_00107	contig_2	81491	82621	+	1131	70
OMCOBO_00108	contig_2	82593	84437	+	1845	101
OMCOBO_00109	contig_2	84451	85563	+	1113	20
OMCOBO_00110	contig_2	85560	86402	+	843	5
OMCOBO_00111	contig_2	86430	87530	+	1101	34
OMCOBO_00112	contig_2	87503	87772	+	270	41
OMCOBO_00113	contig_2	87769	89013	+	1245	26
OMCOBO_00114	contig_2	89147	89710	+	564	487
OMCOBO_00115	contig_2	89972	91075	+	1104	759
OMCOBO_00116	contig_2	91122	92633	-	1512	846
OMCOBO_00117	contig_2	92692	93318	-	627	40
OMCOBO_00118	contig_2	93449	93946	+	498	649
OMCOBO_00119	contig_2	94010	94981	-	972	32
OMCOBO_00120	contig_2	95065	96057	+	993	296
OMCOBO_00121	contig_2	96161	96931	-	771	262
OMCOBO_00122	contig_2	97097	98227	+	1131	131
OMCOBO_00123	contig_2	98459	98617	-	159	0
OMCOBO_00124	contig_2	98614	98853	-	240	0
OMCOBO_00125	contig_2	98935	99579	+	645	124
OMCOBO_00126	contig_2	99835	100737	+	903	50
OMCOBO_00127	contig_2	100811	101869	+	1059	107
OMCOBO_00128	contig_2	102058	102951	+	894	46
OMCOBO_00129	contig_2	103060	103677	-	618	204
OMCOBO_00130	contig_2	103789	105084	-	1296	1144
OMCOBO_00131	contig_2	105315	106607	-	1293	3012
OMCOBO_00132	contig_2	107048	108061	+	1014	138
OMCOBO_00133	contig_2	108153	108380	-	228	80
OMCOBO_00134	contig_2	108498	109334	+	837	1004
OMCOBO_00135	contig_2	109645	110217	-	573	35
OMCOBO_00136	contig_2	110818	111480	+	663	719
OMCOBO_00137	contig_2	111536	113338	-	1803	313
OMCOBO_00138	contig_2	113726	113848	+	123	0
OMCOBO_00139	contig_2	114401	115303	-	903	499
OMCOBO_00140	contig_2	115300	116232	-	933	697
OMCOBO_00141	contig_2	116347	117270	+	924	146
OMCOBO_00142	contig_2	117586	117960	-	375	209
OMCOBO_00143	contig_2	117951	118373	-	423	160
OMCOBO_00144	contig_2	118791	119159	-	369	0
OMCOBO_00145	contig_2	119443	119793	+	351	75
OMCOBO_00146	contig_2	119833	121113	-	1281	84
OMCOBO_00147	contig_2	121612	122136	-	525	33
OMCOBO_00148	contig_2	122201	122431	-	231	0
OMCOBO_00149	contig_2	122454	122882	-	429	0
OMCOBO_00150	contig_2	122879	123433	-	555	0
OMCOBO_00151	contig_2	124205	125362	+	1158	165
OMCOBO_00152	contig_2	125362	126975	+	1614	382
OMCOBO_00153	contig_2	126990	128153	+	1164	146
OMCOBO_00154	contig_2	128150	130252	+	2103	143
OMCOBO_00155	contig_2	130327	131097	+	771	249
OMCOBO_00156	contig_2	131169	131759	-	591	459
OMCOBO_00157	contig_2	131884	133491	+	1608	82
OMCOBO_00158	contig_2	133705	134385	+	681	39
OMCOBO_00159	contig_2	134390	134677	+	288	22
OMCOBO_00160	contig_2	135911	136372	+	462	5784
OMCOBO_00161	contig_2	136806	136907	-	102	83
OMCOBO_00162	contig_2	136904	137383	-	480	1359
OMCOBO_00163	contig_2	137630	137809	-	180	212
OMCOBO_00164	contig_2	138438	138836	-	399	2422
OMCOBO_00165	contig_2	139621	140106	+	486	29
OMCOBO_00166	contig_2	140109	140612	+	504	10
OMCOBO_00167	contig_2	140617	141183	+	567	40
OMCOBO_00168	contig_2	141843	142538	+	696	20
OMCOBO_00169	contig_2	142936	143778	+	843	176
OMCOBO_00170	contig_2	143840	144391	-	552	17
OMCOBO_00171	contig_2	144388	144882	-	495	8
OMCOBO_00172	contig_2	145287	146285	+	999	102
OMCOBO_00173	contig_2	147235	148083	-	849	691
OMCOBO_00174	contig_2	148080	148505	-	426	361
OMCOBO_00175	contig_2	148593	149204	+	612	234
OMCOBO_00176	contig_2	149665	150345	-	681	420
OMCOBO_00177	contig_2	150496	151422	+	927	229
OMCOBO_00178	contig_2	151683	152603	+	921	28
OMCOBO_00179	contig_2	153187	153360	-	174	0
OMCOBO_00180	contig_2	153892	154884	-	993	388
OMCOBO_00181	contig_2	154966	155802	+	837	113
OMCOBO_00182	contig_2	155938	156366	+	429	71
OMCOBO_00183	contig_2	156481	156585	+	105	0
OMCOBO_00184	contig_2	157938	158123	+	186	4541
OMCOBO_00185	contig_2	158412	159314	-	903	1565
OMCOBO_00186	contig_2	159519	159965	+	447	100
OMCOBO_00187	contig_2	160392	161732	+	1341	214
OMCOBO_00188	contig_2	162582	162821	-	240	28
OMCOBO_00189	contig_2	163142	163726	+	585	85
OMCOBO_00190	contig_2	163797	164171	-	375	121
OMCOBO_00191	contig_2	164196	165353	-	1158	142
OMCOBO_00192	contig_2	165499	165588	-	90	17
OMCOBO_00193	contig_2	165588	165860	-	273	57
OMCOBO_00194	contig_2	165860	166351	-	492	113
OMCOBO_00195	contig_2	166582	166866	-	285	0
OMCOBO_00196	contig_2	167159	167287	-	129	0
OMCOBO_00197	contig_2	167549	168400	+	852	46
OMCOBO_00198	contig_2	168393	168497	+	105	0
OMCOBO_00199	contig_2	168518	168958	-	441	58
OMCOBO_00200	contig_2	169115	169717	+	603	961
OMCOBO_00201	contig_2	170082	172706	-	2625	150
OMCOBO_00202	contig_2	172703	172834	-	132	0
OMCOBO_00203	contig_2	173217	173774	+	558	32
OMCOBO_00204	contig_2	173871	175172	-	1302	254
OMCOBO_00205	contig_2	175269	175367	-	99	45
OMCOBO_00206	contig_2	176229	176891	-	663	123
OMCOBO_00207	contig_2	176888	176989	-	102	0
OMCOBO_00208	contig_2	177068	178033	+	966	169
OMCOBO_00209	contig_2	178274	178768	+	495	0
OMCOBO_00210	contig_2	178765	179316	+	552	0
OMCOBO_00211	contig_2	179807	182908	-	3102	401
OMCOBO_00212	contig_2	182986	184029	-	1044	66
OMCOBO_00213	contig_2	184103	185542	-	1440	79
OMCOBO_00214	contig_2	186149	187000	-	852	64
OMCOBO_00215	contig_2	187060	187308	+	249	10
OMCOBO_00216	contig_2	187620	189896	+	2277	2515
OMCOBO_00217	contig_2	190058	191470	-	1413	2120
OMCOBO_00218	contig_2	191770	191922	-	153	28
OMCOBO_00219	contig_2	191919	192713	-	795	50
OMCOBO_00220	contig_2	192808	193488	+	681	212
OMCOBO_00221	contig_2	193634	194287	-	654	47
OMCOBO_00222	contig_2	194726	196684	+	1959	2483
OMCOBO_00223	contig_2	196784	197494	-	711	14379
OMCOBO_00224	contig_2	198022	198255	-	234	711
OMCOBO_00225	contig_2	199437	199907	+	471	988
OMCOBO_00226	contig_2	200239	200595	+	357	532
OMCOBO_00227	contig_2	200600	201613	+	1014	706
OMCOBO_00228	contig_2	201903	203231	+	1329	254
OMCOBO_00229	contig_2	203228	203959	+	732	276
OMCOBO_00230	contig_2	204065	205585	+	1521	752
OMCOBO_00231	contig_2	206111	206749	+	639	367
OMCOBO_00232	contig_2	206793	208187	-	1395	1433
OMCOBO_00233	contig_2	208593	209189	-	597	83
OMCOBO_00234	contig_2	209252	210430	-	1179	707
OMCOBO_00235	contig_2	210562	210819	-	258	46
OMCOBO_00236	contig_2	210888	212369	+	1482	380
OMCOBO_00237	contig_2	212377	213033	-	657	168
OMCOBO_00238	contig_2	213026	214186	-	1161	209
OMCOBO_00239	contig_2	214354	214815	+	462	37
OMCOBO_00240	contig_2	214851	216335	-	1485	447
OMCOBO_00241	contig_2	216447	216929	-	483	0
OMCOBO_00242	contig_2	217249	218355	-	1107	125
OMCOBO_00243	contig_2	218712	220112	+	1401	0
OMCOBO_00244	contig_2	220220	221032	-	813	698
OMCOBO_00245	contig_2	221341	222975	+	1635	571
OMCOBO_00246	contig_2	223030	224157	-	1128	1151
OMCOBO_00247	contig_2	224653	225999	+	1347	65
OMCOBO_00248	contig_2	226040	227575	-	1536	272
OMCOBO_00249	contig_2	227584	228297	-	714	87
OMCOBO_00250	contig_2	228294	228938	-	645	313
OMCOBO_00251	contig_2	229210	229539	-	330	27
OMCOBO_00252	contig_2	229697	231184	-	1488	115
OMCOBO_00253	contig_2	231271	231873	+	603	273
OMCOBO_00254	contig_2	231962	232360	-	399	189
OMCOBO_00255	contig_2	232446	233531	+	1086	288
OMCOBO_00256	contig_2	233593	233895	-	303	2275
OMCOBO_00257	contig_2	234228	235871	+	1644	958
OMCOBO_00258	contig_2	235868	236995	+	1128	210
OMCOBO_00259	contig_2	236992	237363	+	372	53
OMCOBO_00260	contig_2	237485	237856	+	372	2254
OMCOBO_00261	contig_2	238129	238518	+	390	2184
OMCOBO_00262	contig_2	238651	239535	+	885	7116
OMCOBO_00263	contig_2	239585	240754	-	1170	8927
OMCOBO_00264	contig_2	240831	241034	-	204	15
OMCOBO_00265	contig_2	241077	242354	-	1278	149
OMCOBO_00266	contig_2	242486	242656	-	171	2175
OMCOBO_00267	contig_2	242635	245529	-	2895	51
OMCOBO_00268	contig_2	245526	246509	-	984	260
OMCOBO_00269	contig_2	247046	248794	+	1749	1538
OMCOBO_00270	contig_2	248791	249399	+	609	54
OMCOBO_00271	contig_2	249411	250064	+	654	792
OMCOBO_00272	contig_2	250235	250615	+	381	374
OMCOBO_00273	contig_2	250710	251528	-	819	131
OMCOBO_00274	contig_2	251619	252212	+	594	181
OMCOBO_00275	contig_2	252291	253145	-	855	123
OMCOBO_00276	contig_2	253254	253835	-	582	284
OMCOBO_00277	contig_2	253983	255164	+	1182	56
OMCOBO_00278	contig_2	255341	256018	+	678	184
OMCOBO_00279	contig_2	256011	257504	+	1494	410
OMCOBO_00280	contig_2	257553	258218	+	666	322
OMCOBO_00281	contig_2	258228	258641	-	414	66
OMCOBO_00282	contig_2	258809	259261	+	453	33
OMCOBO_00283	contig_2	259367	260596	+	1230	72
OMCOBO_00284	contig_2	260650	261099	+	450	52
OMCOBO_00285	contig_2	261284	262591	+	1308	141
OMCOBO_00286	contig_2	262676	263446	-	771	104
OMCOBO_00287	contig_2	263519	264421	+	903	1513
OMCOBO_00288	contig_2	264517	265194	-	678	1346
OMCOBO_00289	contig_2	265351	265791	+	441	114
OMCOBO_00290	contig_2	265869	266315	-	447	54
OMCOBO_00291	contig_2	266329	268020	-	1692	834
OMCOBO_00292	contig_2	268323	270053	+	1731	5862
OMCOBO_00293	contig_2	270186	270911	-	726	492
OMCOBO_00294	contig_2	271083	272495	+	1413	155
OMCOBO_00295	contig_2	272626	273108	+	483	332
OMCOBO_00296	contig_2	273326	274093	+	768	1005
OMCOBO_00297	contig_2	274222	275166	-	945	654
OMCOBO_00298	contig_2	275253	275726	-	474	633
OMCOBO_00299	contig_2	275870	276448	-	579	3426
OMCOBO_00300	contig_2	276820	277398	+	579	32761
OMCOBO_00301	contig_2	277395	278405	+	1011	51307
OMCOBO_00302	contig_2	278402	280561	+	2160	64393
OMCOBO_00303	contig_2	280851	282137	+	1287	19255
OMCOBO_00304	contig_2	282311	282775	-	465	26875
OMCOBO_00305	contig_2	282961	284232	+	1272	200
OMCOBO_00306	contig_2	284358	285545	+	1188	414
OMCOBO_00307	contig_2	285593	285865	-	273	150
OMCOBO_00308	contig_2	286011	287216	-	1206	2752
OMCOBO_00309	contig_2	287809	288030	+	222	0
OMCOBO_00310	contig_2	288020	289387	+	1368	67
OMCOBO_00311	contig_2	289452	290681	+	1230	56
OMCOBO_00312	contig_2	290824	291456	+	633	1177
OMCOBO_00313	contig_2	291587	292459	+	873	2112
OMCOBO_00314	contig_2	292510	293247	-	738	176
OMCOBO_00315	contig_2	293366	294361	+	996	32
OMCOBO_00316	contig_2	294541	294999	+	459	62
OMCOBO_00317	contig_2	295173	295907	+	735	1620
OMCOBO_00318	contig_2	296183	298045	-	1863	2402
OMCOBO_00319	contig_2	298437	300758	+	2322	246
OMCOBO_00320	contig_2	301045	302037	-	993	80
OMCOBO_00321	contig_2	303013	303615	+	603	403
OMCOBO_00322	contig_2	303655	304419	+	765	1344
OMCOBO_00323	contig_2	304758	306719	-	1962	224
OMCOBO_00324	contig_2	307033	307836	+	804	290
OMCOBO_00325	contig_2	307864	308616	+	753	456
OMCOBO_00326	contig_2	308875	309369	+	495	15
OMCOBO_00327	contig_2	309546	310055	+	510	105
OMCOBO_00328	contig_2	310073	310582	-	510	114
OMCOBO_00329	contig_2	310586	311386	-	801	67
OMCOBO_00330	contig_2	311601	312104	+	504	1007
OMCOBO_00331	contig_2	312216	312953	-	738	4036
OMCOBO_00332	contig_2	313407	314114	+	708	751
OMCOBO_00333	contig_2	314231	314755	-	525	910
OMCOBO_00334	contig_2	314862	315287	-	426	122
OMCOBO_00335	contig_2	315547	315858	+	312	472
OMCOBO_00336	contig_2	315855	316094	+	240	344
OMCOBO_00337	contig_2	316150	316842	-	693	1611
OMCOBO_00338	contig_2	316959	317546	-	588	622
OMCOBO_00339	contig_2	317507	319078	-	1572	39
OMCOBO_00340	contig_2	319082	319759	+	678	36
OMCOBO_00341	contig_2	319864	320436	+	573	268
OMCOBO_00342	contig_2	320417	321193	-	777	153
OMCOBO_00343	contig_2	321269	321643	-	375	0
OMCOBO_00344	contig_2	321640	321990	-	351	15
OMCOBO_00345	contig_2	321987	322478	-	492	18
OMCOBO_00346	contig_2	322925	323905	+	981	57
OMCOBO_00347	contig_2	323951	325618	+	1668	1170
OMCOBO_00348	contig_2	325795	327225	-	1431	223
OMCOBO_00349	contig_2	327484	328509	-	1026	568
OMCOBO_00350	contig_2	328625	329281	+	657	171
OMCOBO_00351	contig_2	329278	329481	+	204	6
OMCOBO_00352	contig_2	330805	332007	+	1203	4508
OMCOBO_00353	contig_2	332189	333136	+	948	1868
OMCOBO_00354	contig_2	333657	334334	-	678	80
OMCOBO_00355	contig_2	334309	335568	-	1260	53
OMCOBO_00356	contig_2	335875	336375	+	501	36
OMCOBO_00357	contig_2	336894	338423	+	1530	1938
OMCOBO_00358	contig_2	338514	339290	+	777	856
OMCOBO_00359	contig_2	339782	340753	+	972	821
OMCOBO_00360	contig_2	340759	341697	+	939	629
OMCOBO_00361	contig_2	341919	343496	+	1578	564
OMCOBO_00362	contig_2	343548	344207	+	660	371
OMCOBO_00363	contig_2	344517	344927	-	411	114
OMCOBO_00364	contig_2	344959	345798	-	840	90
OMCOBO_00365	contig_2	345828	346151	-	324	55
OMCOBO_00366	contig_2	346373	347290	+	918	566
OMCOBO_00367	contig_2	347888	348100	-	213	29471
OMCOBO_00368	contig_2	348275	349918	+	1644	7056
OMCOBO_00369	contig_2	350021	350368	+	348	680
OMCOBO_00370	contig_2	350472	350732	+	261	280
OMCOBO_00371	contig_2	350940	351158	+	219	84
OMCOBO_00372	contig_2	351159	351404	+	246	136
OMCOBO_00373	contig_2	351456	351833	+	378	201
OMCOBO_00374	contig_2	351835	352191	+	357	281
OMCOBO_00375	contig_2	352175	352450	+	276	77
OMCOBO_00376	contig_2	352441	353730	+	1290	265
OMCOBO_00377	contig_2	353727	355631	+	1905	181
OMCOBO_00378	contig_2	355652	356113	-	462	19
OMCOBO_00379	contig_2	356264	357664	-	1401	316
OMCOBO_00380	contig_2	357911	358417	-	507	32
OMCOBO_00381	contig_2	358709	361267	-	2559	15814
OMCOBO_00382	contig_2	361264	361818	-	555	840
OMCOBO_00383	contig_2	361947	362153	+	207	16
OMCOBO_00384	contig_2	362446	363483	+	1038	111
OMCOBO_00385	contig_2	363703	364638	-	936	4989
OMCOBO_00386	contig_2	364858	365478	+	621	83
OMCOBO_00387	contig_2	365506	367098	-	1593	453
OMCOBO_00388	contig_2	367303	367992	-	690	16
OMCOBO_00389	contig_2	368176	368976	-	801	158
OMCOBO_00390	contig_2	369603	370265	+	663	259
OMCOBO_00391	contig_2	370281	371018	-	738	1687
OMCOBO_00392	contig_2	371232	372521	+	1290	111
OMCOBO_00393	contig_2	372777	374114	+	1338	10818
OMCOBO_00394	contig_2	374180	374887	+	708	1679
OMCOBO_00395	contig_2	375427	375657	-	231	26
OMCOBO_00396	contig_2	376012	377367	+	1356	1959
OMCOBO_00397	contig_2	377427	377900	+	474	600
OMCOBO_00398	contig_2	378914	379117	+	204	3941
OMCOBO_00399	contig_2	379449	380060	+	612	353
OMCOBO_00400	contig_2	380066	380713	+	648	103
OMCOBO_00401	contig_2	381095	381847	+	753	111
OMCOBO_00402	contig_2	381886	382113	+	228	206
OMCOBO_00403	contig_2	382179	383201	-	1023	2697
OMCOBO_00404	contig_2	383501	384118	-	618	4770
OMCOBO_00405	contig_2	384239	384883	+	645	15
OMCOBO_00406	contig_2	384992	385537	+	546	26
